tahun,kode_prov,nama_prov,kabkota_4digit,kode_kab_2digit,nama_kab,kelas_kode,kelas,n_individu_tertimbang,n_individu_sample,pop_kab_total,pct_kelas_dalam_kab
2019,12,Sumatera Utara,1274,74,Tebing Tinggi,5,Lower MC,23908.3390,263,163945.9934,14.5831
2019,12,Sumatera Utara,1274,74,Tebing Tinggi,6,Middle MC,1062.9684,14,163945.9934,0.6484
2019,12,Sumatera Utara,1274,74,Tebing Tinggi,8,Upper Class,117.4584,2,163945.9934,0.0716
2019,12,Sumatera Utara,1275,75,Medan,1,Poor,63513.8310,93,2275959.0004,2.7906
2019,12,Sumatera Utara,1275,75,Medan,2,Vulnerable,335776.1053,499,2275959.0004,14.7532
2019,12,Sumatera Utara,1275,75,Medan,3,Lower AMC,736384.9618,1103,2275959.0004,32.3549
2019,12,Sumatera Utara,1275,75,Medan,4,Upper AMC,440477.4350,706,2275959.0004,19.3535
2019,12,Sumatera Utara,1275,75,Medan,5,Lower MC,616741.6247,1029,2275959.0004,27.0981
2019,12,Sumatera Utara,1275,75,Medan,6,Middle MC,55412.5905,98,2275959.0004,2.4347
2019,12,Sumatera Utara,1275,75,Medan,7,Upper MC,8580.8056,18,2275959.0004,0.3770
2019,12,Sumatera Utara,1275,75,Medan,8,Upper Class,19071.6465,30,2275959.0004,0.8380
2019,12,Sumatera Utara,1276,76,Binjai,1,Poor,33511.8785,243,275919.0001,12.1455
2019,12,Sumatera Utara,1276,76,Binjai,2,Vulnerable,82751.8604,587,275919.0001,29.9914
2019,12,Sumatera Utara,1276,76,Binjai,3,Lower AMC,87159.8169,655,275919.0001,31.5889
2019,12,Sumatera Utara,1276,76,Binjai,4,Upper AMC,37235.7040,334,275919.0001,13.4952
2019,12,Sumatera Utara,1276,76,Binjai,5,Lower MC,31183.0985,254,275919.0001,11.3015
2019,12,Sumatera Utara,1276,76,Binjai,6,Middle MC,2924.5319,21,275919.0001,1.0599
2019,12,Sumatera Utara,1276,76,Binjai,7,Upper MC,147.8148,3,275919.0001,0.0536
2019,12,Sumatera Utara,1276,76,Binjai,8,Upper Class,1004.2950,9,275919.0001,0.3640
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,1,Poor,21453.2045,177,221091.0017,9.7033
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,2,Vulnerable,40667.2382,351,221091.0017,18.3939
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,3,Lower AMC,70102.7561,685,221091.0017,31.7076
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,4,Upper AMC,45996.2307,426,221091.0017,20.8042
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,5,Lower MC,41326.0388,394,221091.0017,18.6919
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,6,Middle MC,1479.3653,16,221091.0017,0.6691
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,7,Upper MC,13.3757,2,221091.0017,0.0060
2019,12,Sumatera Utara,1277,77,Padangsidimpuan,8,Upper Class,52.7923,2,221091.0017,0.0239
2019,12,Sumatera Utara,1278,78,Gunungsitoli,1,Poor,19610.7630,286,142051.0046,13.8054
2019,12,Sumatera Utara,1278,78,Gunungsitoli,2,Vulnerable,40405.4550,648,142051.0046,28.4443
2019,12,Sumatera Utara,1278,78,Gunungsitoli,3,Lower AMC,52465.3645,892,142051.0046,36.9342
2019,12,Sumatera Utara,1278,78,Gunungsitoli,4,Upper AMC,17679.6831,317,142051.0046,12.4460
2019,12,Sumatera Utara,1278,78,Gunungsitoli,5,Lower MC,10924.8962,275,142051.0046,7.6908
2019,12,Sumatera Utara,1278,78,Gunungsitoli,6,Middle MC,526.6492,19,142051.0046,0.3707
2019,12,Sumatera Utara,1278,78,Gunungsitoli,7,Upper MC,438.1935,5,142051.0046,0.3085
2019,13,Sumatera Barat,1301,1,Kepulauan Mentawai,1,Poor,25438.6903,442,91605.9965,27.7697
2019,13,Sumatera Barat,1301,1,Kepulauan Mentawai,2,Vulnerable,29362.9923,611,91605.9965,32.0536
2019,13,Sumatera Barat,1301,1,Kepulauan Mentawai,3,Lower AMC,23512.8669,511,91605.9965,25.6674
2019,13,Sumatera Barat,1301,1,Kepulauan Mentawai,4,Upper AMC,6863.7362,150,91605.9965,7.4927
2019,13,Sumatera Barat,1301,1,Kepulauan Mentawai,5,Lower MC,5906.5201,102,91605.9965,6.4477
2019,13,Sumatera Barat,1301,1,Kepulauan Mentawai,6,Middle MC,521.1908,13,91605.9965,0.5689
2019,13,Sumatera Barat,1302,2,Pesisir Selatan,1,Poor,16642.8235,103,463121.0009,3.5936
