kabkota_4digit,kode_prov,nama_prov,kode_kab_2digit,nama_kab
5272,52,Nusa Tenggara Barat,72,Kota Bima
5301,53,Nusa Tenggara Timur,1,Kab Sumba Barat
5302,53,Nusa Tenggara Timur,2,Kab Sumba Timur
5303,53,Nusa Tenggara Timur,3,Kab Kupang
5304,53,Nusa Tenggara Timur,4,Kab Timor Tengah Selatan
5305,53,Nusa Tenggara Timur,5,Kab Timor Tengah Utara
5306,53,Nusa Tenggara Timur,6,Kab Belu
5307,53,Nusa Tenggara Timur,7,Kab Alor
5308,53,Nusa Tenggara Timur,8,Kab Lembata
5309,53,Nusa Tenggara Timur,9,Kab Flores Timur
5310,53,Nusa Tenggara Timur,10,Kab Sikka
5311,53,Nusa Tenggara Timur,11,Kab Ende
5312,53,Nusa Tenggara Timur,12,Kab Ngada
5313,53,Nusa Tenggara Timur,13,Kab Manggarai
5314,53,Nusa Tenggara Timur,14,Kab Rote Ndao
5315,53,Nusa Tenggara Timur,15,Kab Manggarai Barat
5316,53,Nusa Tenggara Timur,16,Kab Sumba Tengah
5317,53,Nusa Tenggara Timur,17,Kab Sumba Barat Daya
5318,53,Nusa Tenggara Timur,18,Kab Nagekeo
5319,53,Nusa Tenggara Timur,19,Kab Manggarai Timur
5320,53,Nusa Tenggara Timur,20,Kab Sabu Raijua
5321,53,Nusa Tenggara Timur,21,Kab Malaka
5371,53,Nusa Tenggara Timur,71,Kota Kupang
6101,61,Kalimantan Barat,1,Kab Sambas
6102,61,Kalimantan Barat,2,Kab Bengkayang
6103,61,Kalimantan Barat,3,Kab Landak
6104,61,Kalimantan Barat,4,Kab Mempawah
6105,61,Kalimantan Barat,5,Kab Sanggau
6106,61,Kalimantan Barat,6,Kab Ketapang
6107,61,Kalimantan Barat,7,Kab Sintang
6108,61,Kalimantan Barat,8,Kab Kapuas Hulu
6109,61,Kalimantan Barat,9,Kab Sekadau
6110,61,Kalimantan Barat,10,Kab Melawi
6111,61,Kalimantan Barat,11,Kab Kayong Utara
6112,61,Kalimantan Barat,12,Kab Kubu Raya
6171,61,Kalimantan Barat,71,Kota Pontianak
6172,61,Kalimantan Barat,72,Kota Singkawang
6201,62,Kalimantan Tengah,1,Kab Kotawaringin Barat
6202,62,Kalimantan Tengah,2,Kab Kotawaringin Timur
6203,62,Kalimantan Tengah,3,Kab Kapuas
6204,62,Kalimantan Tengah,4,Kab Barito Selatan
6205,62,Kalimantan Tengah,5,Kab Barito Utara
6206,62,Kalimantan Tengah,6,Kab Sukamara
6207,62,Kalimantan Tengah,7,Kab Lamandau
6208,62,Kalimantan Tengah,8,Kab Seruyan
6209,62,Kalimantan Tengah,9,Kab Katingan
6210,62,Kalimantan Tengah,10,Kab Pulang Pisau
6211,62,Kalimantan Tengah,11,Kab Gunung Mas
6212,62,Kalimantan Tengah,12,Kab Barito Timur
6213,62,Kalimantan Tengah,13,Kab Murung Raya
6271,62,Kalimantan Tengah,71,Kota Palangkaraya
6301,63,Kalimantan Selatan,1,Kab Tanah Laut
6302,63,Kalimantan Selatan,2,Kab Kotabaru
6303,63,Kalimantan Selatan,3,Kab Banjar
6304,63,Kalimantan Selatan,4,Kab Barito Kuala
6305,63,Kalimantan Selatan,5,Kab Tapin
6306,63,Kalimantan Selatan,6,Kab Hulu Sungai Selatan
6307,63,Kalimantan Selatan,7,Kab Hulu Sungai Tengah
6308,63,Kalimantan Selatan,8,Kab Hulu Sungai Utara
6309,63,Kalimantan Selatan,9,Kab Tabalong
6310,63,Kalimantan Selatan,10,Kab Tanah Bumbu
6311,63,Kalimantan Selatan,11,Kab Balangan
6371,63,Kalimantan Selatan,71,Kota Banjarmasin
6372,63,Kalimantan Selatan,72,Kota Banjarbaru
6401,64,Kalimantan Timur,1,Kab Paser
6402,64,Kalimantan Timur,2,Kab Kutai Barat
6403,64,Kalimantan Timur,3,Kab Kutai Kartanegara
6404,64,Kalimantan Timur,4,Kab Kutai Timur
6405,64,Kalimantan Timur,5,Kab Berau
6409,64,Kalimantan Timur,9,Kab Penajam Paser Utara
6411,64,Kalimantan Timur,11,Kab Mahakam Ulu
6471,64,Kalimantan Timur,71,Kota Balikpapan
6472,64,Kalimantan Timur,72,Kota Samarinda
6474,64,Kalimantan Timur,74,Kota Bontang
6501,65,Kalimantan Utara,1,Kab Malinau
6502,65,Kalimantan Utara,2,Kab Bulungan
6503,65,Kalimantan Utara,3,Kab Tana Tidung
6504,65,Kalimantan Utara,4,Kab Nunukan
6571,65,Kalimantan Utara,71,Kota Tarakan
7101,71,Sulawesi Utara,1,Kab Bolaang Mongondow
7102,71,Sulawesi Utara,2,Kab Minahasa
7103,71,Sulawesi Utara,3,Kab Kepulauan Sangihe
7104,71,Sulawesi Utara,4,Kab Kepulauan Talaud
7105,71,Sulawesi Utara,5,Kab Minahasa Selatan
7106,71,Sulawesi Utara,6,Kab Minahasa Utara
7107,71,Sulawesi Utara,7,Kab Bolaang Mongondow Utara
7108,71,Sulawesi Utara,8,Kab Kep Siau Tagulandang Biaro
7109,71,Sulawesi Utara,9,Kab Minahasa Tenggara
7110,71,Sulawesi Utara,10,Kab Bolaang Mongondow Selatan
7111,71,Sulawesi Utara,11,Kab Bolaang Mongondow Timur
7171,71,Sulawesi Utara,71,Kota Manado
7172,71,Sulawesi Utara,72,Kota Bitung
7173,71,Sulawesi Utara,73,Kota Tomohon
7174,71,Sulawesi Utara,74,Kota Kotamobagu
7201,72,Sulawesi Tengah,1,Kab Banggai Kepulauan
7202,72,Sulawesi Tengah,2,Kab Banggai
7203,72,Sulawesi Tengah,3,Kab Morowali
7204,72,Sulawesi Tengah,4,Kab Poso
7205,72,Sulawesi Tengah,5,Kab Donggala
7206,72,Sulawesi Tengah,6,Kab Toli Toli
7207,72,Sulawesi Tengah,7,Kab Buol
7208,72,Sulawesi Tengah,8,Kab Parigi Moutong
7209,72,Sulawesi Tengah,9,Kab Tojo Una Una
7210,72,Sulawesi Tengah,10,Kab Sigi
7211,72,Sulawesi Tengah,11,Kab Banggai Laut
7212,72,Sulawesi Tengah,12,Kab Morowali Utara
7271,72,Sulawesi Tengah,71,Kota Palu
7301,73,Sulawesi Selatan,1,Kab Kepulauan Selayar
7302,73,Sulawesi Selatan,2,Kab Bulukumba
7303,73,Sulawesi Selatan,3,Kab Bantaeng
7304,73,Sulawesi Selatan,4,Kab Jeneponto
7305,73,Sulawesi Selatan,5,Kab Takalar
7306,73,Sulawesi Selatan,6,Kab Gowa
7307,73,Sulawesi Selatan,7,Kab Sinjai
7308,73,Sulawesi Selatan,8,Kab Maros
7309,73,Sulawesi Selatan,9,Kab Pangkajene Dan Kepulauan
7310,73,Sulawesi Selatan,10,Kab Barru
7311,73,Sulawesi Selatan,11,Kab Bone
7312,73,Sulawesi Selatan,12,Kab Soppeng
7313,73,Sulawesi Selatan,13,Kab Wajo
7314,73,Sulawesi Selatan,14,Kab Sidenreng Rappang
7315,73,Sulawesi Selatan,15,Kab Pinrang
7316,73,Sulawesi Selatan,16,Kab Enrekang
7317,73,Sulawesi Selatan,17,Kab Luwu
7318,73,Sulawesi Selatan,18,Kab Tana Toraja
7322,73,Sulawesi Selatan,22,Kab Luwu Utara
7325,73,Sulawesi Selatan,25,Kab Luwu Timur
7326,73,Sulawesi Selatan,26,Kab Toraja Utara
7371,73,Sulawesi Selatan,71,Kota Makassar
7372,73,Sulawesi Selatan,72,Kota Parepare
7373,73,Sulawesi Selatan,73,Kota Palopo
7401,74,Sulawesi Tenggara,1,Kab Buton
7402,74,Sulawesi Tenggara,2,Kab Muna
7403,74,Sulawesi Tenggara,3,Kab Konawe
7404,74,Sulawesi Tenggara,4,Kab Kolaka
7405,74,Sulawesi Tenggara,5,Kab Konawe Selatan
7406,74,Sulawesi Tenggara,6,Kab Bombana
7407,74,Sulawesi Tenggara,7,Kab Wakatobi
7408,74,Sulawesi Tenggara,8,Kab Kolaka Utara
7409,74,Sulawesi Tenggara,9,Kab Buton Utara
7410,74,Sulawesi Tenggara,10,Kab Konawe Utara
7411,74,Sulawesi Tenggara,11,Kab Kolaka Timur
